"【#山东公布现有无症状感染者详情#，#山东最小无症状感染者仅1岁#】据山东省卫健委，目前山东全省现有正在接受隔离观察治疗的无症状感染者12例，其中境外输入11例，本地1例。相关信息如下:
本地1例:
孙某某，女，1岁。患儿父亲1月29日被确诊新冠肺炎，患儿于2月4日经核酸检测结果阳性，无发热、咳嗽等症状，确定为无症状感染者，目前身体状况稳定，在聊城市传染病医院隔离观察治疗。

境外输入11例:
朱某某，男，13岁。3月14日从瑞士乘SK345航班到新加坡，3月15日转乘SQ802航班到达北京首都国际机场，3月16日从北京接回烟台市集中隔离点隔离观察。3月16日经核酸检测结果阳性，确定为无症状感染者，目前身体状况稳定，在烟台市奇山医院隔离观察治疗。

马某某，男，24岁。3月11日从沙特阿拉伯乘ET463航班到埃塞俄比亚，3月12日乘ET604航班到达北京首都国际机场，3月13日乘坐G471次动车(02车厢18A)到达潍坊站，后在集中隔离点隔离观察。3月19日经核酸检测结果阳性，确定为无症状感染者，目前身体状况稳定，在寿光市人民医院隔离观察治疗。

刘某某，女，26岁。3月7日从西班牙马德里乘坐EY76航班到达阿布扎比，乘EY888航班于3月8日到达北京，从北京乘坐G9到达济南，由滨州滨城区专车接回集中隔离点隔离观察。3月19日经核酸检测结果阳性，确定为无症状感染者，目前身体状况稳定，在滨州市立医院隔离观察治疗。

董某某，男，17岁。3月18日从英国伦敦经新加坡、上海浦东转机，3月20日到达青岛流亭机场，后在平度市集中隔离点隔离观察。3月22日经核酸检测结果阳性，确定为无症状感染者，目前身体状况稳定，在平度市人民医院隔离观察治疗 。

高某，男，23岁。3月18日从法国巴黎乘坐CX260航班于3月19日到达香港，转乘CA112航班到达北京。3月20日乘机场大巴到北京新国展分流点，3月21日由烟台栖霞市专车接至集中隔离点隔离观察。3月23日经核酸检测结果阳性，确定为无症状感染者，目前身体状况稳定，在烟台市奇山医院隔离观察治疗。

刘某某，女，13岁。3月15日从瑞士日内瓦乘B8136航班于16日到达济南遥墙机场，由德州齐河县专车接至集中隔离点隔离观察。3月23日经核酸检测结果阳性，确定为无症状感染者，目前身体状况稳定，在齐河县传染病救治中心隔离观察治疗。

鞠某某，女，23岁。3月23日从英国伦敦乘CA938航班至北京，后乘专车至济南集中隔离点隔离观察。3月24日经核酸检测阳性，确定为无症状感染者，目前身体状况稳定，在济南市传染病医院隔离观察治疗。

崔某某，男，32岁。3月19日从英国伦敦乘EK16航至迪拜，3月20乘EK306航班到达北京，后乘专车转至青岛市集中隔离点隔离观察。3月24日经核酸检测结果阳性，确定为无症状感染者，目前身体状况稳定，在青岛市西海岸新区中心医院隔离观察治疗。

杨某某，男，26岁。3月11日从意大利都灵乘AF1103航班至法国巴黎，乘AF1548航班至西班牙巴塞罗那，3月13日乘EK256航班至阿联酋迪拜，3月14日乘EK306航班至北京，3月15日乘G475至潍坊，后在集中隔离点隔离观察。3月24日核酸检测结果阳性，确定为无症状感染者，目前身体状况稳定，在潍坊市第二人民医院隔离观察治疗。

杜某某，男，16岁。3月21日从布基纳法索经埃塞俄比亚、上海转机，3月24日到达青岛流亭机场，后在集中隔离点隔离观察。3月25日核酸检测为阳性，确定为无症状感染者，目前身体状况稳定，在青岛大学西海岸院区隔离观察治疗。

姜某，女，20岁。3月15日从英国乘DA019航班到达日本，3月16日转乘MU516航班到达上海，转乘MU55413航班到达济南，后在集中隔离点隔离观察。3月27日经核酸检测结果阳性，确定为无症状感染者，目前身体状况稳定，在济南市传染病医院隔离观察治疗。网页链接",2021/4/5 13:37,"评论
2115",无症状太可怕了,这么小的无症状感染者。。。。,我不染，他不染，要染就染特朗普！ 怼中国，无底线，川普就是这么贱 美利坚，心挺宽，民主谎言被揭穿 挖个坑，抛点土，就等下葬特朗普！ 你出书，我写谱，要说就说特朗谱,无症状感染者开始没有症状，仅核酸阳性，之后出现症状，这类属于潜伏期。过了潜伏期也没症状，就属于携带者，这才是真正的无症状感染者。有症状的感染者可以隔离，无症状感染者因难发现，就有不断传染给健康人的风险，消灭病毒的难度就大。并且病毒有可能潜伏下来，使有些人成为携带者，防控就很麻烦。,可怜的小宝宝啊 早日康复,两个月了，小宝宝还没转阴吗,2月4号就无症状阳性 至今2个月了还没出院？？还没转阴？？？这么可怕？,疫情并未解除，大家不可掉以轻心！海外同胞请注意：国内疫情严重时你在哪？国外疫情严重时你往国内钻，请尽到华夏人的义务！北京朝阳经侦、银保监会，也请你们尽到你们的义务！#先锋集团网信理财诈骗750亿# 17万个家庭已倾家荡产，请不要装聋作哑！,通过这次疫情我只知道中国政府是全世界最靠谱的政府，中国人民是全世界最靠谱的人民，我是中国人，我骄傲。中国人民加油,无症状的真是防不胜防,1岁！！好小的孩子一样可以快点好起来吧,啊，我就是山东的，希望山东平安,爱奇艺昨晚搞黄色，想请问你有什么看法,虽然在这儿评论不太好，但是希望能彻查爱奇艺在公祭日将“我和我的祖国”列为恐怖华语剧情片以及公然在爱奇艺电视剧下直播色情淫秽内容。,早日战胜病毒！！！,无症状感染？ 还有境外输入… 山东什么时候才可以彻底好起来啊,这么小,好在无症状 传染性低,,
,,,,,,,,,,,,,,,,,,,,,,
【#黄山游客达2万上限#，#黄山景区停止接待游客#】安徽省黄山风景区管理委员会网站5日发布公告称，目前景区进山人数已达到游客流量限制两万人，停止游客入园。请游客选择其他旅游路线，或改日进山。网页链接,2021/4/5 12:52,"评论
1001",今天黄山不收费，不代表阎王不收人，好自为之吧,境外的和无症状的人不容忽视啊。。。。2万人聚集。。。。,好了伤疤忘了疼,但凡有一个无症状感染者，这些人又得感染一大片。,无数的历史证明，人类从来不会从历史中接受教训,黄山该管管了,不要放松警惕啊！！！,疫情还没结束呢,这些人心太大了吧,还是不能掉以轻心呀，广东已经5例境内感染了,#爱奇艺涉黄# 湖北作协厅级干部#方方小产权别墅转正获利千万#13亩别墅，以反体制为荣，说别人都是极左奈何自己是高小琴,我们已经没钱去玩耍了,注意防范啊，像我这种怕死的，根本不敢出门,人太多啦,奔着免费去的，得了也免费治疗。。。把免费治疗停了，就没这么多人去蹭免费景点看了,佩服现在还敢出去旅游的，都是勇士。,看看爱奇艺吧，4.4公然搞黄，还把《我和我的祖国》定义为恐怖片,怎么那么多人啊？嗯，看来大家对自己的防范措施很有信心啊，像我这种怕死的根本不敢出门,作为医护人员，真的觉得现在急着出去玩的人太让人担心了，我们没日没夜的值守闷在口罩里裹在防护服里，还有人掉以轻心不戴口罩出去聚集游玩球球了，我们也想放假和爱的人天天在一起好吗,
,,,,,,,,,,,,,,,,,,,,,,
【#北京要求期末考试不得增加难度#】日前，北京市教委发布中小学春季学期教学安排，明确从4月13日开始，中小学将结合实际实现“线上线下”无缝衔接，建立与疫情防控常态化相适应的课程教学机制。通知要求，期末考试由各区统一指导学校组织实施，各校不得额外扩大考试范围和增加考试难度。关于做好2020年春季学期中小学课程教学工作的通知,2021/4/5 10:44,"评论
1503",为啥要增加难度呢,北京的本来就不难了好不,#方方小产权别墅转正获利千万#,北京照这样下去就不用开学了。。。,如果可以其他省份快来抄抄作业,其他省份不抄作业吗开学月考就崩了呀,高考能不能不加难度,全国都要这样才行,哦，那大学生呢？每日例行一问，大学生啥时候开学？还有没有暑假？,哈哈哈哈哈哈哈体贴 周道！,你以为不增加难度我就能及格？开玩笑！,广东抄作业！！！,换句话说就是保持当前难度不改变，也够受的了,我猜测，拿到这个通知，北京各个区教委在骂……该通知没有实际操作的空间，什么叫线上线下结合，到底是让开学还是不让开学，末了还要写总结落实的情况,#方方小产权别墅转正获利千万#,高…高考呢,因为网课教学时间太长了,期末考试还不知道会在啥时候,,
,,,,,,,,,,,,,,,,,,,,,,
【#人民直播#：春暖花开·#2020年故宫博物院首次直播#】2020，紫禁城迎来600年。春暖花开，尚未开放的静谧紫禁城有着怎样生机盎然的春天？@人民日报 新媒体联合故宫博物院，带你一起“去故宫，云赏春”！ 人民日报的微博直播 .,2021/4/5 10:02,"评论
10911",一起云游故宫,云游故宫，感受一下紫禁城的春天,好好康，想看，疫情快结束吧,想去,哇，这个直播好,在家云游故宫，好棒,想去故宫 还没去过,看一下紫禁城的春天,愿国泰民安，山河无恙,都会好的,云游故宫,待春暖花开，中国好起来了！,等待春暖花开 一起游故宫,春天来了,故G不错！美丽,对不起，我还是忘不了大G,奔驰大G事情怎么讲,怎么看见故宫我就想起大G，是我充满了偏见还是这个地方的人设崩塌了。更多的是我们对特权的愤怒和无力的呐喊，被人当傻子一样忽悠感觉真的很操蛋。,哎呦大G,
,,,,,,,,,,,,,,,,,,,,,,
【#广东新增5例本土病例均为关联病例#】据广东省卫健委通报，4月4日0-24时，广东省新增境外输入确诊病例3例，分别为广州报告2例（美国、加拿大输入各1例）、深圳报告1例（美国输入）。全省累计报告境外输入病例165例。广州报告3例，揭阳报告2例境外输入关联病例。#广东新增5例本土病例#网页链接,2021/4/5 9:16,"评论
8329",这么多输入关键，广东政府不应该反思吗？这么久了，居家隔离搞得这么烂。,广东前2周的骚操作，造成了本土病例，背后不知要隔离多少人，人民的嗓子都喊破了，现在外国蔓延，中国经不起二次爆发，打起精神来吧，不要松懈。,好吧，广东开学没指望咯,关联病例这么多，广东防控最垃圾，别反驳了,还没到松懈的时候，疫情远远没有结束,广东省政府丢人不？境外输入3例，关联5例，自己怎么管理的？漏洞比天还大,千万不要卷土重来，天呐，挺住！！！,广东政府真的很垃圾，前期放了很多病毒进来都是从香港那边入境的，又不集中隔离,广东这是怎么了,境外，关联，无症状输入，本土新增，广东开学遥遥无期了……,纪委什么时候去广东？对于一个全国经济、人口大省来说，有着前车之鉴，还把防疫工作做得如此一塌糊涂，民怨四起……是不是应该派专案组到此地核查清楚，对本地群众一个交代！,加油，广东！,广东每次疫情到出名，上次非典广东也是疫情中心，可见政府管控不利,评论里骂广东的，知不知道入境人员大部分从港澳过关，又大部分要途径广东去其他省份？我是广东一个小县城的，本地已经一个月没有新增，但是到现在小区还是封闭的，说我们防疫措施不到位看个新闻就比本地人清楚了？广东流动人口多大你们不知道？,广东还能开学吗？,广东早期有做的好的地方，后期境外输入时，对外籍不够严格管控，允许居家隔离，造成了漏洞和隐患，现在是过往的一个延续。很多人从外地回来，都说广州是比较不算严格的。,严防境外输入，怎么还是有漏洞啊,广州的瑟瑟发抖昨天没有还真的很开心的,,
,,,,,,,,,,,,,,,,,,,,,,
【#黑龙江新增13例俄罗斯输入病例#：均由符拉迪沃斯托克经绥芬河口岸入境】2020年4月4日0-24时，黑龙江省无新增确诊病例，无新增疑似病例，新增境外输入确诊病例13例（境外输入无症状感染者转为确诊病例2例）。#黑龙江公布13例境外输入病例详情#：戳→网页链接,2021/4/5 8:24,"评论
7164",13例。。。。。高危机了，一定要重视起来啊,追溯4月4日黑龙江13例新增确诊病例常住地，其中浙江2个，福建2个，吉林4个，黑龙江3个，广东2个。因为航线越来越少，都选择陆运入境，黑龙江作为口岸真的…压力太大,绥芬河现在真的特别严重！工作人员都超负荷工作！境外输入人员太多了 都没有地方安排了,首先回国的都是中国人，在大部分入境口岸都关闭的情况下，绥芬河几乎是俄罗斯以至于欧洲主要的入境通道。绥芬河作为一个十八线小县城为了让海外的游子能够回家，顶着多大的压力，绥芬河这种自杀式的付出不指望你们给绥芬河点赞但也请不要谩骂。,大家别再说防控做的不好了！看看黑龙江各边境县市做出的努力吧！这些境外人员一下飞机就被带走隔离了，没有与社会有过任何接触。绥芬河的工作人员压力应该真的很大。这个决定等于黑龙江替全国各省背俄罗斯入境的大黑锅，谁在开地图炮就给我往死了喷！！！,黑龙江关闭了所有口岸只保留了绥芬河口岸，是因为黑龙江有3千多公里的中俄边境线，如果全部关闭口岸会有很多人选择偷渡入境，那才真的防不住了。所有从俄罗斯入境的患者不管来自哪个省都截留在黑龙江省，为了避免他们转程而传染其他人。省里领导前天在绥芬河给了防控建议，希望绥芬河口岸顶住压力！,海参崴都懒得写了吗？遗忘是最大的背叛！,不是，我真是不想爆粗口啊，总有人在这秀智商，还什么黑龙江政策不行，装大哥的，不关口岸咋咋地的，口岸是你家的啊，你说关就能关的，你说咋地就咋地，别在这丢人了行吗，绥芬河目前是作为唯一一个对俄通关口岸，是国家指定的，绥芬河才多大点啊，不到7万人，老龄化，顶着多大的压力啊。,湖北作协厅级干部#方方小产权别墅转正获利千万#31栋别墅，以反体制为荣，说别人都是极左奈何自己是高小琴,黑龙江心里苦啊,你们都不看新闻？口岸明天开始就关闭了。进口岸的都是集中隔离，三次检测。黑龙江已经很好了,一个边境小城，我的家，自疫情爆发以来，无一确诊病例。最近大量的俄罗斯返境人员全涌入绥芬河，真的承受不住这巨大的压力了，所有人员在此隔离，宾馆爆满，医院所有科室都被倒出来作为隔离间，医疗条件真的满足不了这么多人的需求。只希望能多关注支援边境城市的疫情防控，希望绥芬河挺住，家人安康。,俄罗斯不是封国境了吗？咋入境的？,边境上的黑龙江压力不小的,这13例境外输入中户籍地浙江2例，福建2例，吉林4例，黑龙江3例，广东2例。早日康复吧！,海参崴！,境外输入守住！！！,,,
